tarih,hal_urun_adi,ihracat_kategorisi,birim,fiyat_min,fiyat_max
2024-11-13,Biber (Dolma),BİBER,Kg,30,60
2024-11-13,Biber Cin,BİBER,Kg,60,150
2024-11-13,Biber Çarli,BİBER,Kg,35,70
2024-11-13,Biber Kapya,BİBER,Kg,35,75
2024-11-13,Biber Sivri,BİBER,Kg,30,70
2024-11-13,Biber Üçburun,BİBER,Kg,35,65
2024-11-13,Domates,DOMATES,Kg,40,50
2024-11-13,Domates (Pembe),DOMATES,Kg,40,75
2024-11-13,Domates Kokteyl,DOMATES,Kg,40,75
2024-11-13,Elma (Golden),ELMA,Kg,25,40
2024-11-13,Elma (Grann Smith),ELMA,Kg,35,50
2024-11-13,Elma (Starking),ELMA,Kg,20,40
2024-11-13,Hıyar,HIYAR (SALATALIK),Kg,25,50
2024-11-13,Hıyar (Slor Paket),HIYAR (SALATALIK),Kg,28,52
2024-11-13,Kabak (Bal),KABAK,Kg,20,40
2024-11-13,Kabak (Sakız),KABAK,Kg,20,45
2024-11-13,Limon,LİMON,Kg,15,26
2024-11-13,Patlıcan,PATLICAN,Kg,20,45
2024-11-13,Patlıcan (Topak),PATLICAN,Kg,25,50
2024-11-13,Portakal (Sıkmalık),PORTAKAL,Kg,15,30
2024-11-13,Portakal (Valencia Pak),PORTAKAL,Kg,30,45
